French,English
pensais,thought
genre,kind
mois,month
laisser,let
mettre,to put
parlé,speak
arrivé,come
devrait,should
heures,hours
aucune,any
parle,speak
savais,knew
attention,Warning
donner,give
type,type
donné,given
façon,way
écoute,listen
trouve,find
perdu,lost
main,hand
pouvoir,power
tiens,here
enfant,child
suite,after
pardon,sorry
venez,come
minutes,minutes
chambre,bedroom
belle,beautiful
aimerais,would like to
aujourd'hui,today
enfin,finally
donne,given
fin,end
chérie,sweetheart
plutôt,rather
